GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-billing-backend-java,com.castor.ms_billing_backend_java.application.service,ClientUseCaseImpl,12,170,0,0,4,49,0,8,0,8
ms-billing-backend-java,com.castor.ms_billing_backend_java.domain.exception,ClientNotFoundException,0,5,0,0,0,2,0,1,0,1
